"","Facility_ID","Year","County","Operative_Procedure","Hospital_Category_RiskAdjustment","Procedure_Count","Infections_Reported","LICENSED_CERTIFIED","FAC_TYPE_DESCRIPTION","FAC_FAC_RELATIONSHIP"
"1",30000037,"2021","Sacramento","All procedures","Acute Care Hospital",1652,5,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"2",30000037,"2021","Sacramento","Appendix surgery","Acute Care Hospital",82,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"3",30000037,"2021","Sacramento","Bile duct, liver or pancreatic surgery","Acute Care Hospital",6,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"4",30000037,"2021","Sacramento","Cesarean section","Acute Care Hospital",256,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"5",30000037,"2021","Sacramento","Colon surgery","Acute Care Hospital",36,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"6",30000037,"2021","Sacramento","Exploratory abdominal surgery (laparotomy)","Acute Care Hospital",99,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"7",30000037,"2021","Sacramento","Gallbladder surgery","Acute Care Hospital",145,1,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"8",30000037,"2021","Sacramento","Gastric surgery","Acute Care Hospital",256,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"9",30000037,"2021","Sacramento","Hip prosthesis","Acute Care Hospital",141,3,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"10",30000037,"2021","Sacramento","Hysterectomy, abdominal","Acute Care Hospital",82,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"11",30000037,"2021","Sacramento","Hysterectomy, vaginal","Acute Care Hospital",34,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"12",30000037,"2021","Sacramento","Kidney surgery","Acute Care Hospital",12,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"13",30000037,"2021","Sacramento","Knee prosthesis","Acute Care Hospital",192,1,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"14",30000037,"2021","Sacramento","Open reduction of fracture","Acute Care Hospital",105,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"15",30000037,"2021","Sacramento","Ovarian surgery","Acute Care Hospital",55,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"16",30000037,"2021","Sacramento","Pacemaker surgery","Acute Care Hospital",1,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"17",30000037,"2021","Sacramento","Rectal surgery","Acute Care Hospital",5,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"18",30000037,"2021","Sacramento","Small bowel surgery","Acute Care Hospital",69,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"19",30000037,"2021","Sacramento","Spleen surgery","Acute Care Hospital",3,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"20",30000037,"2021","Sacramento","Thoracic surgery","Acute Care Hospital",73,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"21",30000108,"2021","Amador","All procedures","Acute Care Hospital",343,2,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"22",30000108,"2021","Amador","Appendix surgery","Acute Care Hospital",27,1,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"23",30000108,"2021","Amador","Bile duct, liver or pancreatic surgery","Acute Care Hospital",2,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"24",30000108,"2021","Amador","Cesarean section","Acute Care Hospital",79,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
"25",30000108,"2021","Amador","Colon surgery","Acute Care Hospital",32,0,"LICENSED AND CERTIFIED","GENERAL ACUTE CARE HOSPITAL","Parent"
